flight_number,class,origin,destination,departure_date,date,website_visit,number_of_checkouts,checkout_rate,DCP,class_dcp,air_fare_usd,daily_revenue,WTP2,average_time_onsite
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-15,100,2,2.0,3,Economy_3,780.0,1560.0,896.9999999999999,17.253724598629603
NZ631,Business,AKL,SYD,2023-08-30,2023-08-15,39,1,2.564102564102564,3,Business_3,3900.0,3900.0,4251.0,17.253724598629603
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-16,100,2,2.0,3,Economy_3,780.0,1560.0,896.9999999999999,20.056814371062337
NZ631,Business,AKL,SYD,2023-08-30,2023-08-16,33,0,0.0,3,Business_3,3900.0,0.0,4017.0,20.056814371062337
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-17,101,1,0.9900990099009901,3,Economy_3,780.0,780.0,904.8,19.66415917477758
NZ631,Business,AKL,SYD,2023-08-30,2023-08-17,40,2,5.0,3,Business_3,3900.0,7800.0,4290.0,19.66415917477758
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-18,101,1,0.9900990099009901,3,Economy_3,780.0,780.0,904.8,24.124998130813573
NZ631,Business,AKL,SYD,2023-08-30,2023-08-18,34,0,0.0,3,Business_3,3900.0,0.0,4056.0,24.124998130813573
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-19,88,1,1.1363636363636365,3,Economy_3,780.0,780.0,803.4,12.426696733190017
NZ631,Business,AKL,SYD,2023-08-30,2023-08-19,42,2,4.761904761904762,3,Business_3,3900.0,7800.0,4368.0,12.426696733190017
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-20,107,3,2.803738317757009,3,Economy_3,780.0,2340.0,951.6,15.294432160150109
NZ631,Business,AKL,SYD,2023-08-30,2023-08-20,37,0,0.0,3,Business_3,3900.0,0.0,4173.0,15.294432160150109
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-21,99,5,5.05050505050505,4,Economy_4,975.0,4875.0,1111.5000000000002,17.986712173014947
NZ631,Business,AKL,SYD,2023-08-30,2023-08-21,34,1,2.941176470588235,4,Business_4,4875.0,4875.0,5070.0,17.986712173014947
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-22,97,4,4.123711340206185,4,Economy_4,975.0,3900.0,1092.0,20.079587941363137
NZ631,Business,AKL,SYD,2023-08-30,2023-08-22,42,1,2.380952380952381,4,Business_4,4875.0,4875.0,5460.000000000001,20.079587941363137
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-23,91,4,4.395604395604396,4,Economy_4,975.0,3900.0,1033.5,11.039088043895184
NZ631,Business,AKL,SYD,2023-08-30,2023-08-23,43,2,4.651162790697675,4,Business_4,4875.0,9750.0,5508.749999999999,11.039088043895184
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-24,104,6,5.769230769230769,4,Economy_4,975.0,5850.0,1160.25,24.235632472672002
NZ631,Business,AKL,SYD,2023-08-30,2023-08-24,38,1,2.631578947368421,4,Business_4,4875.0,4875.0,5265.0,24.235632472672002
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-25,104,1,0.9615384615384616,4,Economy_4,975.0,975.0,1160.25,21.33859192197952
NZ631,Business,AKL,SYD,2023-08-30,2023-08-25,37,0,0.0,4,Business_4,4875.0,0.0,5216.25,21.33859192197952
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-26,99,4,4.040404040404041,4,Economy_4,975.0,3900.0,1111.5000000000002,24.31926154270831
NZ631,Business,AKL,SYD,2023-08-30,2023-08-26,41,1,2.4390243902439024,4,Business_4,4875.0,4875.0,5411.250000000001,24.31926154270831
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-27,89,3,3.3707865168539324,4,Economy_4,975.0,2925.0,1014.0,21.46233406874135
NZ631,Business,AKL,SYD,2023-08-30,2023-08-27,40,0,0.0,4,Business_4,4875.0,0.0,5362.5,21.46233406874135
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-28,102,3,2.941176470588235,5,Economy_5,1105.0,3315.0,1292.85,21.158871684926766
NZ631,Business,AKL,SYD,2023-08-30,2023-08-28,35,2,5.714285714285714,5,Business_5,5525.0,11050.0,5801.25,21.158871684926766
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-29,103,1,0.9708737864077669,5,Economy_5,1105.0,1105.0,1303.8999999999999,17.828486901271834
NZ631,Business,AKL,SYD,2023-08-30,2023-08-29,37,1,2.7027027027027026,5,Business_5,5525.0,5525.0,5911.75,17.828486901271834
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-30,102,4,3.9215686274509802,5,Economy_5,1105.0,4420.0,1292.85,24.939841953614312
NZ631,Business,AKL,SYD,2023-08-30,2023-08-30,43,2,4.651162790697675,5,Business_5,5525.0,11050.0,6243.249999999999,24.939841953614312
