flight_number,class,origin,destination,departure_date,date,website_visit,number_of_checkouts,checkout_rate,DCP,class_dcp,air_fare_usd,daily_revenue,WTP,average_time_onsite
CX6321,Business,HND,HKG,2023-03-30,2023-03-15,397,2,0.5037783375314862,3,Business_3,3900.0,7800.0,4049.0,24.796759146956493
CX6321,Economy,HND,HKG,2023-03-30,2023-03-16,968,4,0.4132231404958678,3,Economy_3,780.0,3120.0,642.0,24.321199581382167
CX6321,Business,HND,HKG,2023-03-30,2023-03-16,367,0,0.0,3,Business_3,3900.0,0.0,3839.0,24.321199581382167
CX6321,Economy,HND,HKG,2023-03-30,2023-03-17,951,13,1.3669821240799158,3,Economy_3,780.0,10140.0,650.0,24.759168085190183
CX6321,Business,HND,HKG,2023-03-30,2023-03-17,402,1,0.24875621890547264,3,Business_3,3900.0,3900.0,4098.0,24.759168085190183
CX6321,Economy,HND,HKG,2023-03-30,2023-03-18,1017,5,0.4916420845624385,3,Economy_3,780.0,3900.0,813.0,16.68976535367573
CX6321,Business,HND,HKG,2023-03-30,2023-03-18,375,1,0.26666666666666666,3,Business_3,3900.0,3900.0,3736.0,16.68976535367573
CX6321,Economy,HND,HKG,2023-03-30,2023-03-19,1008,5,0.496031746031746,3,Economy_3,780.0,3900.0,619.0,21.336872635319168
CX6321,Business,HND,HKG,2023-03-30,2023-03-19,408,2,0.49019607843137253,3,Business_3,3900.0,7800.0,3743.0,21.336872635319168
CX6321,Economy,HND,HKG,2023-03-30,2023-03-20,958,3,0.31315240083507306,4,Economy_4,975.0,2925.0,1081.0,16.097801727292534
CX6321,Business,HND,HKG,2023-03-30,2023-03-20,384,2,0.5208333333333333,4,Business_4,4875.0,9750.0,4890.0,16.097801727292534
CX6321,Economy,HND,HKG,2023-03-30,2023-03-21,1018,8,0.7858546168958742,4,Economy_4,975.0,7800.0,1064.0,18.902016264736986
CX6321,Business,HND,HKG,2023-03-30,2023-03-21,403,0,0.0,4,Business_4,4875.0,0.0,4906.0,18.902016264736986
CX6321,Economy,HND,HKG,2023-03-30,2023-03-22,1003,9,0.897308075772682,4,Economy_4,975.0,8775.0,787.0,21.70754306378277
CX6321,Business,HND,HKG,2023-03-30,2023-03-22,386,1,0.2590673575129534,4,Business_4,4875.0,4875.0,4779.0,21.70754306378277
CX6321,Economy,HND,HKG,2023-03-30,2023-03-23,987,3,0.303951367781155,4,Economy_4,975.0,2925.0,913.0,14.990593647297523
CX6321,Business,HND,HKG,2023-03-30,2023-03-23,388,1,0.25773195876288657,4,Business_4,4875.0,4875.0,4844.0,14.990593647297523
CX6321,Economy,HND,HKG,2023-03-30,2023-03-24,1035,5,0.4830917874396135,4,Economy_4,975.0,4875.0,1130.0,16.39224605278011
CX6321,Business,HND,HKG,2023-03-30,2023-03-24,400,0,0.0,4,Business_4,4875.0,0.0,4731.0,16.39224605278011
CX6321,Economy,HND,HKG,2023-03-30,2023-03-25,1007,4,0.3972194637537239,4,Economy_4,975.0,3900.0,792.0,10.267131502654605
CX6321,Business,HND,HKG,2023-03-30,2023-03-25,402,0,0.0,4,Business_4,4875.0,0.0,4773.0,10.267131502654605
CX6321,Economy,HND,HKG,2023-03-30,2023-03-26,990,7,0.7070707070707071,4,Economy_4,975.0,6825.0,1129.0,17.573228633948748
CX6321,Business,HND,HKG,2023-03-30,2023-03-26,411,1,0.24330900243309003,4,Business_4,4875.0,4875.0,5043.0,17.573228633948748
CX6321,Economy,HND,HKG,2023-03-30,2023-03-27,1022,1,0.09784735812133072,5,Economy_5,1105.0,1105.0,1169.0,11.489132531018916
CX6321,Business,HND,HKG,2023-03-30,2023-03-27,381,1,0.26246719160104987,5,Business_5,5525.0,5525.0,5703.0,11.489132531018916
CX6321,Economy,HND,HKG,2023-03-30,2023-03-28,1013,5,0.4935834155972359,5,Economy_5,1105.0,5525.0,1125.0,18.294471751214534
CX6321,Business,HND,HKG,2023-03-30,2023-03-28,382,0,0.0,5,Business_5,5525.0,0.0,5532.0,18.294471751214534
CX6321,Economy,HND,HKG,2023-03-30,2023-03-29,955,4,0.41884816753926707,5,Economy_5,1105.0,4420.0,951.0,15.282742161270184
CX6321,Business,HND,HKG,2023-03-30,2023-03-29,415,0,0.0,5,Business_5,5525.0,0.0,5522.0,15.282742161270184
CX6321,Economy,HND,HKG,2023-03-30,2023-03-30,1015,4,0.3940886699507389,5,Economy_5,1105.0,4420.0,1301.0,13.047870279879348
CX6321,Business,HND,HKG,2023-03-30,2023-03-30,404,2,0.49504950495049505,5,Business_5,5525.0,11050.0,5666.0,13.047870279879348
